"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"INCARSOB-1<XMEX>","Incarso","B-1","MX","Accion","cancelado","INCARSOB-1","BMV","-","2011-01-05","2015-11-30","Peso Mexico","Loteamento de inmuebles","Construcción"
"IASASA<XMEX>","Ind. Automotriz","*","MX","Accion","cancelado","IASASA","BMV","-","1994-06-15","2011-10-27","Peso Mexico","Fabricación de partes para vehículos automotores","Vehículos y Pieza"
"INGEALL<XMEX>","Ingeal","L","MX","Accion","cancelado","INGEALL","BMV","-","1994-12-08","2002-05-10","Peso Mexico","Elaboración de productos de panadería y tortillas","Alimentos y Beb"
"CERAMICD<XMEX>","Inter de Ceramica","D","MX","Accion","cancelado","CERAMICD","BMV","-","1992-01-07","2017-10-30","Peso Mexico","Fabricación de productos a base de arcillas y minerales refractarios","Minerales no Met"
"CELA<XMEX>","Iusacell Gpo","A","MX","Accion","cancelado","CELA","BMV","-","1994-06-15","1999-07-22","Peso Mexico","Telecomunicaciones","Telecomunicación"
"CEL<XMEX>","Iusacell Gpo","Ord","MX","Accion","cancelado","CEL","BMV","-","1994-06-15","2010-06-30","Peso Mexico","Telecomunicaciones","Telecomunicación"
"IXEGFO<XMEX>","Ixe Gpo Financiero","O","MX","Accion","cancelado","IXEGFO","BMV","-","1994-12-29","2011-04-13","Peso Mexico","Bancos","Finanzas y Seguros"
"MAIZORO<XMEX>","Maizoro","Ord","MX","Accion","cancelado","MAIZORO","BMV","-","1997-08-26","2003-10-17","Peso Mexico","Molienda de granos y de semillas oleaginosas","Alimentos y Beb"
"MADISAB<XMEX>","Maq Diesel","B","MX","Accion","cancelado","MADISAB","BMV","-","1996-05-22","2007-04-12","Peso Mexico","Comercio al por mayor de máquinas, equipos y  accesorios","Comercio"
"MADISAL<XMEX>","Maq Diesel","L","MX","Accion","cancelado","MADISAL","BMV","-","1996-05-22","2007-04-12","Peso Mexico","Comercio al por mayor de máquinas, equipos y  accesorios","Comercio"
"MASECAB<XMEX>","Maseca","B","MX","Accion","cancelado","MASECAB","BMV","-","1992-01-02","2017-10-04","Peso Mexico","Molienda de granos y de semillas oleaginosas","Alimentos y Beb"
"MAXCOMCPO<XMEX>","Maxcom Telecom","CPO","MX","Accion","cancelado","MAXCOMCPO","BMV","-","2007-10-18","2016-08-22","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"MEDICAA<XMEX>","Medica Sur","A","MX","Accion","cancelado","MEDICAA","BMV","-","1994-07-19","2003-02-12","Peso Mexico","Consultorios médicos","Otros"
"MEDICAL<XMEX>","Medica Sur","L","MX","Accion","cancelado","MEDICAL","BMV","-","1994-03-11","2003-02-24","Peso Mexico","Consultorios médicos","Otros"
