Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
LIVEPOLC-1<XMEX>,Liverpool Puerto de,C-1,MX,Accion,activo,LIVEPOLC-1,BMV,Acciones,11/06/1992,08/05/2026,Peso Mexico,Grandes almacenes,Comercio
MAXCOMA<XMEX>,Maxcom Telecom,A,MX,Accion,activo,MAXCOMA,BMV,Acciones,23/08/2016,02/05/2022,Peso Mexico,Otros servicios de telecomunicaciones,Telecomunicación
MEDICAB<XMEX>,Medica Sur,B,MX,Accion,activo,MEDICAB,BMV,Acciones,11/03/1994,08/05/2026,Peso Mexico,Consultorios médicos,Otros
MEGACPO<XMEX>,Megacable Holdings,CPO,MX,Accion,activo,MEGACPO,BMV,Acciones,07/11/2007,08/05/2026,Peso Mexico,Otros servicios de telecomunicaciones,Telecomunicación
MFRISCOA-1<XMEX>,Mfrisco,A-1,MX,Accion,activo,MFRISCOA-1,BMV,Acciones,06/01/2011,08/05/2026,Peso Mexico,Minería de minerales metálicos,Minería
MFRISCOA-2<XMEX>,Mfrisco,A-2,MX,Accion,activo,MFRISCOA-2,BMV,Acciones,30/10/2019,20/05/2021,Peso Mexico,Minería de minerales metálicos,Minería
MINSAB<XMEX>,Minsa,B,MX,Accion,activo,MINSAB,BMV,Acciones,20/08/1997,14/01/2026,Peso Mexico,Molienda de granos y de semillas oleaginosas,Alimentos y Beb
NUTRISAA<XMEX>,Nutrisa,A,MX,Accion,activo,NUTRISAA,BMV,Acciones,18/09/2025,08/05/2026,Peso Mexico,Tienda de alimentos especiales,Comercio
OMAB<XMEX>,OMA,B,MX,Accion,activo,OMAB,BMV,Acciones,29/11/2006,08/05/2026,Peso Mexico,Servicios relacionados con el transporte aéreo,Transporte Servic
SITES1A-1<XMEX>,Operadora de Sites Mexicanos,A-1,MX,Accion,activo,SITES1A-1,BMV,Acciones,16/03/2022,08/05/2026,Peso Mexico,Instalaciones y equipamiento en construcciones,Construcción
